I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.042561,-0.051073,-0.021281,0.034049,-0.012768,-0.029793,0.012768,-0.017024,-0.034049,-0.046817,-0.042561,-0.025537
0.026535,0.031842,0.013268,-0.021228,0.007961,0.018575,-0.007961,0.010614,0.021228,0.029189,0.026535,0.015921
0.031027,0.037232,0.015514,-0.024822,0.009308,0.021719,-0.009308,0.012411,0.024822,0.034130,0.031027,0.018616
0.014722,0.017666,0.007361,-0.011777,0.004416,0.010305,-0.004416,0.005889,0.011777,0.016194,0.014722,0.008833
-0.027172,-0.032607,-0.013586,0.021738,-0.008152,-0.019021,0.008152,-0.010869,-0.021738,-0.029889,-0.027172,-0.016303
-0.007641,-0.009169,-0.003820,0.006113,-0.002292,-0.005348,0.002292,-0.003056,-0.006113,-0.008405,-0.007641,-0.004584
-0.023529,-0.028235,-0.011765,0.018823,-0.007059,-0.016470,0.007059,-0.009412,-0.018823,-0.025882,-0.023529,-0.014117
-0.022136,-0.026563,-0.011068,0.017708,-0.006641,-0.015495,0.006641,-0.008854,-0.017708,-0.024349,-0.022136,-0.013281
0.013684,0.016420,0.006842,-0.010947,0.004105,0.009579,-0.004105,0.005473,0.010947,0.015052,0.013684,0.008210
0.003442,0.004131,0.001721,-0.002754,0.001033,0.002410,-0.001033,0.001377,0.002754,0.003786,0.003442,0.002065
-0.043010,-0.051612,-0.021505,0.034408,-0.012903,-0.030107,0.012903,-0.017204,-0.034408,-0.047311,-0.043010,-0.025806
-0.066519,-0.079823,-0.033260,0.053215,-0.019956,-0.046563,0.019956,-0.026608,-0.053215,-0.073171,-0.066519,-0.039911
-0.076290,-0.091548,-0.038145,0.061032,-0.022887,-0.053403,0.022887,-0.030516,-0.061032,-0.083919,-0.076290,-0.045774
-0.099750,-0.119701,-0.049875,0.079800,-0.029925,-0.069825,0.029925,-0.039900,-0.079800,-0.109726,-0.099750,-0.059850
-0.092049,-0.110458,-0.046024,0.073639,-0.027615,-0.064434,0.027615,-0.036819,-0.073639,-0.101253,-0.092049,-0.055229
-0.088885,-0.106662,-0.044442,0.071108,-0.026665,-0.062219,0.026665,-0.035554,-0.071108,-0.097773,-0.088885,-0.053331
-0.037097,-0.044516,-0.018548,0.029677,-0.011129,-0.025968,0.011129,-0.014839,-0.029677,-0.040806,-0.037097,-0.022258
0.086707,0.104048,0.043353,-0.069366,0.026012,0.060695,-0.026012,0.034683,0.069366,0.095378,0.086707,0.052024
0.142919,0.171503,0.071459,-0.114335,0.042876,0.100043,-0.042876,0.057168,0.114335,0.157211,0.142919,0.085751
0.280506,0.336607,0.140253,-0.224405,0.084152,0.196354,-0.084152,0.112202,0.224405,0.308557,0.280506,0.168304
0.548397,0.658076,0.274198,-0.438717,0.164519,0.383878,-0.164519,0.219359,0.438717,0.603236,0.548397,0.329038
0.885293,1.062352,0.442647,-0.708235,0.265588,0.619705,-0.265588,0.354117,0.708235,0.973823,0.885293,0.531176
1.265085,1.518102,0.632542,-1.012068,0.379525,0.885559,-0.379525,0.506034,1.012068,1.391593,1.265085,0.759051
1.482072,1.778486,0.741036,-1.185657,0.444621,1.037450,-0.444621,0.592829,1.185657,1.630279,1.482072,0.889243
1.427152,1.712582,0.713576,-1.141721,0.428145,0.999006,-0.428145,0.570861,1.141721,1.569867,1.427152,0.856291
1.268968,1.522762,0.634484,-1.015175,0.380690,0.888278,-0.380690,0.507587,1.015175,1.395865,1.268968,0.761381
0.895672,1.074807,0.447836,-0.716538,0.268702,0.626971,-0.268702,0.358269,0.716538,0.985240,0.895672,0.537403
0.609202,0.731042,0.304601,-0.487362,0.182761,0.426441,-0.182761,0.243681,0.487362,0.670122,0.609202,0.365521
0.303925,0.364710,0.151962,-0.243140,0.091177,0.212747,-0.091177,0.121570,0.243140,0.334317,0.303925,0.182355
0.184471,0.221365,0.092236,-0.147577,0.055341,0.129130,-0.055341,0.073788,0.147577,0.202918,0.184471,0.110683
0.031313,0.037575,0.015656,-0.025050,0.009394,0.021919,-0.009394,0.012525,0.025050,0.034444,0.031313,0.018788
-0.008979,-0.010775,-0.004490,0.007183,-0.002694,-0.006286,0.002694,-0.003592,-0.007183,-0.009877,-0.008979,-0.005388
-0.024032,-0.028838,-0.012016,0.019225,-0.007210,-0.016822,0.007210,-0.009613,-0.019225,-0.026435,-0.024032,-0.014419
-0.039582,-0.047499,-0.019791,0.031666,-0.011875,-0.027708,0.011875,-0.015833,-0.031666,-0.043541,-0.039582,-0.023749
-0.105482,-0.126579,-0.052741,0.084386,-0.031645,-0.073838,0.031645,-0.042193,-0.084386,-0.116030,-0.105482,-0.063289
-0.221035,-0.265241,-0.110517,0.176828,-0.066310,-0.154724,0.066310,-0.088414,-0.176828,-0.243138,-0.221035,-0.132621
-0.239015,-0.286818,-0.119507,0.191212,-0.071704,-0.167310,0.071704,-0.095606,-0.191212,-0.262916,-0.239015,-0.143409
-0.286908,-0.344290,-0.143454,0.229527,-0.086072,-0.200836,0.086072,-0.114763,-0.229527,-0.315599,-0.286908,-0.172145
-0.312347,-0.374817,-0.156174,0.249878,-0.093704,-0.218643,0.093704,-0.124939,-0.249878,-0.343582,-0.312347,-0.187408
-0.295573,-0.354688,-0.147786,0.236458,-0.088672,-0.206901,0.088672,-0.118229,-0.236458,-0.325130,-0.295573,-0.177344
-0.172996,-0.207595,-0.086498,0.138397,-0.051899,-0.121097,0.051899,-0.069198,-0.138397,-0.190296,-0.172996,-0.103798
-0.174639,-0.209566,-0.087319,0.139711,-0.052392,-0.122247,0.052392,-0.069855,-0.139711,-0.192103,-0.174639,-0.104783
-0.129615,-0.155538,-0.064807,0.103692,-0.038884,-0.090730,0.038884,-0.051846,-0.103692,-0.142576,-0.129615,-0.077769
-0.039888,-0.047866,-0.019944,0.031911,-0.011967,-0.027922,0.011967,-0.015955,-0.031911,-0.043877,-0.039888,-0.023933
-0.025578,-0.030693,-0.012789,0.020462,-0.007673,-0.017904,0.007673,-0.010231,-0.020462,-0.028136,-0.025578,-0.015347
-0.015215,-0.018258,-0.007607,0.012172,-0.004564,-0.010650,0.004564,-0.006086,-0.012172,-0.016736,-0.015215,-0.009129
0.018591,0.022309,0.009295,-0.014873,0.005577,0.013014,-0.005577,0.007436,0.014873,0.020450,0.018591,0.011155
0.013321,0.015985,0.006660,-0.010657,0.003996,0.009324,-0.003996,0.005328,0.010657,0.014653,0.013321,0.007992
0.010953,0.013144,0.005476,-0.008762,0.003286,0.007667,-0.003286,0.004381,0.008762,0.012048,0.010953,0.006572
0.029653,0.035584,0.014827,-0.023722,0.008896,0.020757,-0.008896,0.011861,0.023722,0.032618,0.029653,0.017792
0.009662,0.011594,0.004831,-0.007729,0.002898,0.006763,-0.002898,0.003865,0.007729,0.010628,0.009662,0.005797
-0.016921,-0.020305,-0.008460,0.013536,-0.005076,-0.011844,0.005076,-0.006768,-0.013536,-0.018613,-0.016921,-0.010152
-0.008749,-0.010499,-0.004375,0.007000,-0.002625,-0.006125,0.002625,-0.003500,-0.007000,-0.009624,-0.008749,-0.005250
-0.012834,-0.015401,-0.006417,0.010267,-0.003850,-0.008984,0.003850,-0.005134,-0.010267,-0.014118,-0.012834,-0.007701
0.009944,0.011933,0.004972,-0.007955,0.002983,0.006961,-0.002983,0.003978,0.007955,0.010939,0.009944,0.005966
-0.027608,-0.033129,-0.013804,0.022086,-0.008282,-0.019326,0.008282,-0.011043,-0.022086,-0.030369,-0.027608,-0.016565
-0.048896,-0.058675,-0.024448,0.039117,-0.014669,-0.034227,0.014669,-0.019558,-0.039117,-0.053785,-0.048896,-0.029337
0.010382,0.012459,0.005191,-0.008306,0.003115,0.007268,-0.003115,0.004153,0.008306,0.011420,0.010382,0.006229
-0.030329,-0.036394,-0.015164,0.024263,-0.009099,-0.021230,0.009099,-0.012131,-0.024263,-0.033362,-0.030329,-0.018197
-0.046337,-0.055604,-0.023169,0.037070,-0.013901,-0.032436,0.013901,-0.018535,-0.037070,-0.050971,-0.046337,-0.027802
0.026363,0.031636,0.013182,-0.021091,0.007909,0.018454,-0.007909,0.010545,0.021091,0.028999,0.026363,0.015818
-0.002682,-0.003218,-0.001341,0.002145,-0.000805,-0.001877,0.000805,-0.001073,-0.002145,-0.002950,-0.002682,-0.001609
0.037624,0.045149,0.018812,-0.030099,0.011287,0.026337,-0.011287,0.015050,0.030099,0.041386,0.037624,0.022574
0.011564,0.013876,0.005782,-0.009251,0.003469,0.008094,-0.003469,0.004625,0.009251,0.012720,0.011564,0.006938
-0.000716,-0.000859,-0.000358,0.000572,-0.000215,-0.000501,0.000215,-0.000286,-0.000572,-0.000787,-0.000716,-0.000429
0.001834,0.002201,0.000917,-0.001467,0.000550,0.001284,-0.000550,0.000734,0.001467,0.002018,0.001834,0.001100
0.030653,0.036783,0.015326,-0.024522,0.009196,0.021457,-0.009196,0.012261,0.024522,0.033718,0.030653,0.018392
0.045630,0.054756,0.022815,-0.036504,0.013689,0.031941,-0.013689,0.018252,0.036504,0.050193,0.045630,0.027378
0.037614,0.045137,0.018807,-0.030091,0.011284,0.026330,-0.011284,0.015046,0.030091,0.041376,0.037614,0.022569
0.063087,0.075705,0.031544,-0.050470,0.018926,0.044161,-0.018926,0.025235,0.050470,0.069396,0.063087,0.037852
0.035291,0.042350,0.017646,-0.028233,0.010587,0.024704,-0.010587,0.014117,0.028233,0.038821,0.035291,0.021175
0.092223,0.110668,0.046112,-0.073779,0.027667,0.064556,-0.027667,0.036889,0.073779,0.101446,0.092223,0.055334
0.048834,0.058601,0.024417,-0.039067,0.014650,0.034184,-0.014650,0.019534,0.039067,0.053717,0.048834,0.029300
0.107977,0.129572,0.053989,-0.086382,0.032393,0.075584,-0.032393,0.043191,0.086382,0.118775,0.107977,0.064786
0.145985,0.175182,0.072993,-0.116788,0.043796,0.102190,-0.043796,0.058394,0.116788,0.160584,0.145985,0.087591
0.169031,0.202837,0.084515,-0.135225,0.050709,0.118321,-0.050709,0.067612,0.135225,0.185934,0.169031,0.101418
0.198635,0.238362,0.099317,-0.158908,0.059590,0.139044,-0.059590,0.079454,0.158908,0.218498,0.198635,0.119181
0.110952,0.133143,0.055476,-0.088762,0.033286,0.077667,-0.033286,0.044381,0.088762,0.122048,0.110952,0.066571
0.190126,0.228151,0.095063,-0.152101,0.057038,0.133088,-0.057038,0.076050,0.152101,0.209139,0.190126,0.114076
0.212345,0.254814,0.106172,-0.169876,0.063703,0.148641,-0.063703,0.084938,0.169876,0.233579,0.212345,0.127407
0.213229,0.255875,0.106615,-0.170584,0.063969,0.149261,-0.063969,0.085292,0.170584,0.234552,0.213229,0.127938
0.162270,0.194724,0.081135,-0.129816,0.048681,0.113589,-0.048681,0.064908,0.129816,0.178497,0.162270,0.097362
0.207364,0.248836,0.103682,-0.165891,0.062209,0.145154,-0.062209,0.082945,0.165891,0.228100,0.207364,0.124418
0.254073,0.304887,0.127036,-0.203258,0.076222,0.177851,-0.076222,0.101629,0.203258,0.279480,0.254073,0.152444
0.154932,0.185919,0.077466,-0.123946,0.046480,0.108453,-0.046480,0.061973,0.123946,0.170426,0.154932,0.092959
0.213998,0.256797,0.106999,-0.171198,0.064199,0.149798,-0.064199,0.085599,0.171198,0.235397,0.213998,0.128399
0.231215,0.277458,0.115608,-0.184972,0.069365,0.161851,-0.069365,0.092486,0.184972,0.254337,0.231215,0.138729
0.173419,0.208103,0.086710,-0.138735,0.052026,0.121393,-0.052026,0.069368,0.138735,0.190761,0.173419,0.104052
0.206702,0.248042,0.103351,-0.165361,0.062010,0.144691,-0.062010,0.082681,0.165361,0.227372,0.206702,0.124021
0.150541,0.180650,0.075271,-0.120433,0.045162,0.105379,-0.045162,0.060217,0.120433,0.165595,0.150541,0.090325
0.150491,0.180589,0.075245,-0.120393,0.045147,0.105344,-0.045147,0.060196,0.120393,0.165540,0.150491,0.090294
0.141476,0.169771,0.070738,-0.113181,0.042443,0.099033,-0.042443,0.056590,0.113181,0.155624,0.141476,0.084886
0.162075,0.194490,0.081038,-0.129660,0.048623,0.113453,-0.048623,0.064830,0.129660,0.178283,0.162075,0.097245
0.143357,0.172028,0.071678,-0.114685,0.043007,0.100350,-0.043007,0.057343,0.114685,0.157693,0.143357,0.086014
0.164267,0.197120,0.082133,-0.131414,0.049280,0.114987,-0.049280,0.065707,0.131414,0.180694,0.164267,0.098560
0.097123,0.116547,0.048561,-0.077698,0.029137,0.067986,-0.029137,0.038849,0.077698,0.106835,0.097123,0.058274
0.111607,0.133929,0.055804,-0.089286,0.033482,0.078125,-0.033482,0.044643,0.089286,0.122768,0.111607,0.066964
0.135561,0.162673,0.067780,-0.108448,0.040668,0.094892,-0.040668,0.054224,0.108448,0.149117,0.135561,0.081336
0.116178,0.139414,0.058089,-0.092942,0.034853,0.081325,-0.034853,0.046471,0.092942,0.127796,0.116178,0.069707
0.054176,0.065012,0.027088,-0.043341,0.016253,0.037923,-0.016253,0.021671,0.043341,0.059594,0.054176,0.032506
0.110833,0.132999,0.055416,-0.088666,0.033250,0.077583,-0.033250,0.044333,0.088666,0.121916,0.110833,0.066500
0.076268,0.091521,0.038134,-0.061014,0.022880,0.053387,-0.022880,0.030507,0.061014,0.083895,0.076268,0.045761
0.104935,0.125922,0.052467,-0.083948,0.031480,0.073454,-0.031480,0.041974,0.083948,0.115428,0.104935,0.062961
0.108146,0.129775,0.054073,-0.086517,0.032444,0.075702,-0.032444,0.043258,0.086517,0.118960,0.108146,0.064887
0.144142,0.172971,0.072071,-0.115314,0.043243,0.100900,-0.043243,0.057657,0.115314,0.158557,0.144142,0.086485
0.121528,0.145834,0.060764,-0.097222,0.036458,0.085070,-0.036458,0.048611,0.097222,0.133681,0.121528,0.072917
0.073933,0.088720,0.036967,-0.059147,0.022180,0.051753,-0.022180,0.029573,0.059147,0.081327,0.073933,0.044360
0.099780,0.119736,0.049890,-0.079824,0.029934,0.069846,-0.029934,0.039912,0.079824,0.109758,0.099780,0.059868
0.172593,0.207112,0.086297,-0.138075,0.051778,0.120815,-0.051778,0.069037,0.138075,0.189853,0.172593,0.103556
0.149847,0.179816,0.074923,-0.119877,0.044954,0.104893,-0.044954,0.059939,0.119877,0.164832,0.149847,0.089908
0.194771,0.233725,0.097386,-0.155817,0.058431,0.136340,-0.058431,0.077908,0.155817,0.214248,0.194771,0.116863
0.167316,0.200779,0.083658,-0.133853,0.050195,0.117121,-0.050195,0.066926,0.133853,0.184047,0.167316,0.100389
0.130420,0.156504,0.065210,-0.104336,0.039126,0.091294,-0.039126,0.052168,0.104336,0.143462,0.130420,0.078252
0.174816,0.209779,0.087408,-0.139853,0.052445,0.122371,-0.052445,0.069926,0.139853,0.192298,0.174816,0.104890
0.104072,0.124886,0.052036,-0.083258,0.031222,0.072850,-0.031222,0.041629,0.083258,0.114479,0.104072,0.062443
0.050297,0.060357,0.025149,-0.040238,0.015089,0.035208,-0.015089,0.020119,0.040238,0.055327,0.050297,0.030178
0.156270,0.187524,0.078135,-0.125016,0.046881,0.109389,-0.046881,0.062508,0.125016,0.171897,0.156270,0.093762
0.019623,0.023547,0.009811,-0.015698,0.005887,0.013736,-0.005887,0.007849,0.015698,0.021585,0.019623,0.011774
0.079753,0.095704,0.039876,-0.063802,0.023926,0.055827,-0.023926,0.031901,0.063802,0.087728,0.079753,0.047852
0.074393,0.089271,0.037196,-0.059514,0.022318,0.052075,-0.022318,0.029757,0.059514,0.081832,0.074393,0.044636
0.038463,0.046156,0.019232,-0.030771,0.011539,0.026924,-0.011539,0.015385,0.030771,0.042310,0.038463,0.023078
-0.026257,-0.031509,-0.013129,0.021006,-0.007877,-0.018380,0.007877,-0.010503,-0.021006,-0.028883,-0.026257,-0.015754
0.047136,0.056564,0.023568,-0.037709,0.014141,0.032995,-0.014141,0.018855,0.037709,0.051850,0.047136,0.028282
-0.032148,-0.038578,-0.016074,0.025718,-0.009644,-0.022504,0.009644,-0.012859,-0.025718,-0.035363,-0.032148,-0.019289
-0.033187,-0.039825,-0.016594,0.026550,-0.009956,-0.023231,0.009956,-0.013275,-0.026550,-0.036506,-0.033187,-0.019912
-0.006493,-0.007791,-0.003246,0.005194,-0.001948,-0.004545,0.001948,-0.002597,-0.005194,-0.007142,-0.006493,-0.003896
0.026024,0.031229,0.013012,-0.020819,0.007807,0.018217,-0.007807,0.010410,0.020819,0.028627,0.026024,0.015615
0.009616,0.011539,0.004808,-0.007693,0.002885,0.006731,-0.002885,0.003846,0.007693,0.010577,0.009616,0.005769
0.022617,0.027140,0.011309,-0.018094,0.006785,0.015832,-0.006785,0.009047,0.018094,0.024879,0.022617,0.013570
-0.019078,-0.022894,-0.009539,0.015263,-0.005724,-0.013355,0.005724,-0.007631,-0.015263,-0.020986,-0.019078,-0.011447
-0.018285,-0.021942,-0.009142,0.014628,-0.005485,-0.012799,0.005485,-0.007314,-0.014628,-0.020113,-0.018285,-0.010971
-0.059320,-0.071184,-0.029660,0.047456,-0.017796,-0.041524,0.017796,-0.023728,-0.047456,-0.065252,-0.059320,-0.035592
-0.051940,-0.062328,-0.025970,0.041552,-0.015582,-0.036358,0.015582,-0.020776,-0.041552,-0.057134,-0.051940,-0.031164
-0.045291,-0.054350,-0.022646,0.036233,-0.013587,-0.031704,0.013587,-0.018117,-0.036233,-0.049821,-0.045291,-0.027175
-0.091971,-0.110366,-0.045986,0.073577,-0.027591,-0.064380,0.027591,-0.036789,-0.073577,-0.101169,-0.091971,-0.055183
-0.082322,-0.098787,-0.041161,0.065858,-0.024697,-0.057626,0.024697,-0.032929,-0.065858,-0.090555,-0.082322,-0.049393
-0.116579,-0.139895,-0.058290,0.093264,-0.034974,-0.081606,0.034974,-0.046632,-0.093264,-0.128237,-0.116579,-0.069948
-0.107549,-0.129059,-0.053775,0.086039,-0.032265,-0.075284,0.032265,-0.043020,-0.086039,-0.118304,-0.107549,-0.064529
-0.067500,-0.080999,-0.033750,0.054000,-0.020250,-0.047250,0.020250,-0.027000,-0.054000,-0.074250,-0.067500,-0.040500
-0.041266,-0.049520,-0.020633,0.033013,-0.012380,-0.028887,0.012380,-0.016507,-0.033013,-0.045393,-0.041266,-0.024760
0.036680,0.044016,0.018340,-0.029344,0.011004,0.025676,-0.011004,0.014672,0.029344,0.040348,0.036680,0.022008
0.122197,0.146636,0.061098,-0.097757,0.036659,0.085538,-0.036659,0.048879,0.097757,0.134416,0.122197,0.073318
0.342980,0.411576,0.171490,-0.274384,0.102894,0.240086,-0.102894,0.137192,0.274384,0.377278,0.342980,0.205788
0.555970,0.667163,0.277985,-0.444776,0.166791,0.389179,-0.166791,0.222388,0.444776,0.611567,0.555970,0.333582
0.904411,1.085293,0.452205,-0.723528,0.271323,0.633087,-0.271323,0.361764,0.723528,0.994852,0.904411,0.542646
1.222650,1.467180,0.611325,-0.978120,0.366795,0.855855,-0.366795,0.489060,0.978120,1.344915,1.222650,0.733590
1.471009,1.765210,0.735504,-1.176807,0.441303,1.029706,-0.441303,0.588403,1.176807,1.618109,1.471009,0.882605
1.490930,1.789116,0.745465,-1.192744,0.447279,1.043651,-0.447279,0.596372,1.192744,1.640023,1.490930,0.894558
1.232169,1.478603,0.616085,-0.985735,0.369651,0.862518,-0.369651,0.492868,0.985735,1.355386,1.232169,0.739302
0.911266,1.093520,0.455633,-0.729013,0.273380,0.637886,-0.273380,0.364507,0.729013,1.002393,0.911266,0.546760
0.587957,0.705548,0.293979,-0.470366,0.176387,0.411570,-0.176387,0.235183,0.470366,0.646753,0.587957,0.352774
0.295412,0.354495,0.147706,-0.236330,0.088624,0.206789,-0.088624,0.118165,0.236330,0.324954,0.295412,0.177247
0.117365,0.140838,0.058683,-0.093892,0.035210,0.082156,-0.035210,0.046946,0.093892,0.129102,0.117365,0.070419
0.074249,0.089099,0.037125,-0.059400,0.022275,0.051975,-0.022275,0.029700,0.059400,0.081674,0.074249,0.044550
0.002571,0.003085,0.001285,-0.002057,0.000771,0.001800,-0.000771,0.001028,0.002057,0.002828,0.002571,0.001542
-0.021129,-0.025355,-0.010565,0.016903,-0.006339,-0.014790,0.006339,-0.008452,-0.016903,-0.023242,-0.021129,-0.012677
-0.036119,-0.043343,-0.018059,0.028895,-0.010836,-0.025283,0.010836,-0.014448,-0.028895,-0.039731,-0.036119,-0.021671
-0.088099,-0.105719,-0.044050,0.070479,-0.026430,-0.061669,0.026430,-0.035240,-0.070479,-0.096909,-0.088099,-0.052860
-0.194445,-0.233334,-0.097222,0.155556,-0.058333,-0.136111,0.058333,-0.077778,-0.155556,-0.213889,-0.194445,-0.116667
-0.260265,-0.312318,-0.130132,0.208212,-0.078079,-0.182185,0.078079,-0.104106,-0.208212,-0.286291,-0.260265,-0.156159
-0.279046,-0.334856,-0.139523,0.223237,-0.083714,-0.195332,0.083714,-0.111619,-0.223237,-0.306951,-0.279046,-0.167428
-0.303459,-0.364151,-0.151730,0.242767,-0.091038,-0.212421,0.091038,-0.121384,-0.242767,-0.333805,-0.303459,-0.182075
-0.333126,-0.399751,-0.166563,0.266501,-0.099938,-0.233188,0.099938,-0.133250,-0.266501,-0.366438,-0.333126,-0.199875
-0.187163,-0.224595,-0.093581,0.149730,-0.056149,-0.131014,0.056149,-0.074865,-0.149730,-0.205879,-0.187163,-0.112298
-0.162346,-0.194816,-0.081173,0.129877,-0.048704,-0.113642,0.048704,-0.064939,-0.129877,-0.178581,-0.162346,-0.097408
-0.082146,-0.098575,-0.041073,0.065717,-0.024644,-0.057502,0.024644,-0.032858,-0.065717,-0.090361,-0.082146,-0.049288
-0.094189,-0.113027,-0.047095,0.075351,-0.028257,-0.065933,0.028257,-0.037676,-0.075351,-0.103608,-0.094189,-0.056514
0.009150,0.010980,0.004575,-0.007320,0.002745,0.006405,-0.002745,0.003660,0.007320,0.010065,0.009150,0.005490
-0.030588,-0.036706,-0.015294,0.024471,-0.009176,-0.021412,0.009176,-0.012235,-0.024471,-0.033647,-0.030588,-0.018353
-0.008078,-0.009694,-0.004039,0.006463,-0.002423,-0.005655,0.002423,-0.003231,-0.006463,-0.008886,-0.008078,-0.004847
-0.043381,-0.052057,-0.021690,0.034705,-0.013014,-0.030367,0.013014,-0.017352,-0.034705,-0.047719,-0.043381,-0.026028
-0.004921,-0.005905,-0.002461,0.003937,-0.001476,-0.003445,0.001476,-0.001968,-0.003937,-0.005413,-0.004921,-0.002953
-0.006167,-0.007400,-0.003084,0.004934,-0.001850,-0.004317,0.001850,-0.002467,-0.004934,-0.006784,-0.006167,-0.003700
